description,name,source,url
"Shake your cursor to summon an AI agent that sees your screen and clicks, types, drags, and acts for you on macOS. Open-source, MIT.",Clickyy,GitHub Awesome,https://github.com/jayamitkatariya/clickyyy
"🆕 **July 8, 2026**. OpenAI's full-duplex conversational voice model replacing Advanced Voice Mode. **ChatGPT-only — not exposed as an API model**; for programmatic realtime voice use `gpt-realtime-2.1`, and for streaming transcription `gpt-live-transcribe` ($0.017/min). Listens and speaks simultaneously (zero turn-taking lag), handles interruptions, delegates complex queries to GPT-5.5 in the background while keeping the conversation flowing. **GPT-Live-1** is default for paid users (Go/Plus/Pro); **GPT-Live-1 mini** is default for free users. Includes real-time live translation. Available on iOS, Android, and web.",GPT-Live-1 / GPT-Live-1 mini,GitHub Awesome,https://openai.com/index/introducing-gpt-live/
"🆕 ⚠️ **Announced August 1, 2026 (public release date TBD)**. OpenAI’s next-generation model family announced in pre-release. An internal version reportedly resolved **10 unsolved mathematical and theoretical computer science problems** in a single session (group theory, quantum complexity). 249-page manuscript + Lean 4 machine-verifiable certificates published publicly. ⚠️ No API access or public weights. **August 7, 2026 update**: OpenAI [slowed Astra development](https://techcrunch.com/2026/08/07/openai-says-it-slowed-astra-model-development-over-security-concerns/) after preliminary evaluations could not rule out a first-ever ""Critical"" cyber capability level; the White House confirmed OpenAI voluntarily informed the administration of the delay. Release timeline further pushed out.",OpenAI Astra,GitHub Awesome,https://openai.com
"🆕 **July 9, 2026** (GA; limited preview from June 26). OpenAI's frontier flagship in the GPT-5.6 family — ""Sol"" is the most capable tier with advanced reasoning, coding, biology, and cybersecurity capabilities plus ""max"" reasoning and ""ultra"" sub-agent mode. Available on ChatGPT, Codex, and the OpenAI API. Launch was delayed briefly at US government request for a national-security review; rolled out to all users in stages following the trusted-partner preview. **August 6, 2026 update**: improved accuracy and consistency in ChatGPT; GPT-5.6 Luna expanded to free users for unlimited everyday chats. ⚡ **August 13, 2026**: new [Ultrafast service tier](https://openai.com/index/previewing-ultrafast) (limited API preview) serves GPT-5.6 Sol at up to **14× Standard speed / ~750 output tokens per second**, powered by Cerebras hardware.",GPT-5.6 Sol,GitHub Awesome,https://openai.com/blog/gpt-5-6
"🆕 **July 9, 2026**. Mid-tier model in the GPT-5.6 family offering GPT-5.5-parity performance at approximately 2× lower cost. Designed for cost-efficient production workloads.",GPT-5.6 Terra,GitHub Awesome,https://openai.com/blog/gpt-5-6
"🆕 **July 9, 2026**. The fastest and most cost-efficient tier of GPT-5.6 — optimised for high-volume, speed-critical tasks.",GPT-5.6 Luna,GitHub Awesome,https://openai.com/blog/gpt-5-6
"🆕 **July 9, 2026**. OpenAI's agent that turns a goal into finished work — acts across connected apps and files, stays on a project for hours, creates slides/sheets/docs/web apps, runs scheduled tasks, and uses desktop computer-use with a built-in browser. Powered by GPT-5.6. Rolling out on web/mobile starting with Pro, Enterprise, and Edu (Plus/Business next); the desktop app is available globally on Mac and Windows for all plans, including Free.",ChatGPT Work,GitHub Awesome,https://openai.com/index/chatgpt-for-your-most-ambitious-work/
"🆕 **June 2026**. A Codex-powered ChatGPT feature that transforms plans and analyses into interactive, sharable websites and lightweight apps. In public beta as of the July 9, 2026 GPT-5.6 / ChatGPT Work launch.",Sites for ChatGPT,GitHub Awesome,https://openai.com/academy/chatgpt-sites/
"🆕 **June 2026**. Enterprise enhancements bringing sales, data analytics, and creative production plugins directly to Codex.",Codex Business Plugins,GitHub Awesome,https://venturebeat.com/orchestration/openais-codex-update-lets-agents-build-interactive-enterprise-workspaces-via-sites-and-role-specific-plugins
"🆕 **June 3, 2026**. Major update to OpenAI's life-sciences frontier model — stronger drug discovery, genomics, quantitative biology, and wet-lab troubleshooting (≈31% fewer tokens than GPT-5.5 on long-horizon genomics analyses). Research preview opened to eligible organizations worldwide; Novo Nordisk joins earlier partners Amgen, Moderna, the Allen Institute, and Thermo Fisher.",GPT-Rosalind,GitHub Awesome,https://openai.com/index/introducing-new-capabilities-to-gpt-rosalind/
"🆕 Released **April 23, 2026** (codename ""Spud""). OpenAI's new frontier model for agentic tasks: coding, online research, data analysis, autonomous tool navigation. Significant gains in reasoning, consistency, and long-horizon task handling. Available on ChatGPT Plus / Pro / Business / Enterprise.",GPT-5.5,GitHub Awesome,https://openai.com/index/gpt-5-5-system-card/
"🆕 April 23, 2026. Parallel test-time compute variant for higher-accuracy cognitive tasks. Pro / Business / Enterprise tiers.",GPT-5.5 Pro,GitHub Awesome,https://openai.com/index/gpt-5-5-system-card/
"🆕 **May 5, 2026**. New ChatGPT default model. Efficiency-first upgrade with ~50% lower hallucination rate on high-stakes prompts; available on free tier.",GPT-5.5 Instant,GitHub Awesome,https://openai.com/index/gpt-5-5-instant/
"🆕 **April 30, 2026**. Cybersecurity-specialized variant of GPT-5.5, rolled out via OpenAI's Trusted Access for Cyber (TAC) program to vetted defenders, government, critical infrastructure operators, and security vendors. Not available to the general public.",GPT-5.5-Cyber,GitHub Awesome,https://openai.com/index/trusted-access-for-cyber/
"🆕 **May 12, 2026**. Cyber-defense platform bundling GPT-5.5 + GPT-5.5-Cyber + Trusted-Access-for-Cyber for AI-powered vulnerability detection and patch validation; preview access extended to EU governments and security vendors.",OpenAI Daybreak,GitHub Awesome,https://thehackernews.com/2026/05/openai-launches-daybreak-for-ai-powered.html
"🆕 ⚡ **August 10, 2026**. OpenAI's cybersecurity-specialized model built on GPT-5.6 Sol, made available through the **Daybreak Red** vetted program for authorized vulnerability research and exploit validation. Capable of identifying zero-day vulnerabilities and developing exploit chains; access limited to cleared security professionals. Daybreak also expanded to AWS Bedrock on August 11.",GPT-5.6-Cyber,GitHub Awesome,https://openai.com/index/expanding-daybreak-as-the-cyber-defense-window-narrows
